CustomerID,Gender,Age,EducationYears,JobCategory,EmploymentLength,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,MaritalStatus,HouseholdSize,HomeOwner,CommuteTime,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,WirelessData,DataLastMonth,DataOverTenure,Multiline,EBilling,LastMonthTotalValue,OverTenureTotalValue,TotalDebt,AverageMonthlyRevenue
0712-WQXYVV-HUP,Male,61,14,Labor,18,12000,21.5,0.56502,2.01498,Unmarried,1,1,25,61,25.05,476.95,Yes,29.1,1790.8,No,0,0,No,No,54.150000000000006,2267.75,2.58,37.17622950819672
6441-FJUWZQ-7G8,Male,37,11,Professional,2,29000,15.7,3.319137,1.233863,Unmarried,1,0,29,39,39.3,504.45,Yes,43.5,1663.95,Yes,31.5,1199.2,Yes,Yes,114.3,3367.6000000000004,4.553,86.34871794871796
7634-AVNEXZ-7AG,Male,39,12,Professional,5,130000,11.3,4.68611,10.00389,Married,4,1,32,6,4.5,11.15,No,0,0,No,0,0,No,No,4.5,11.15,14.690000000000001,1.8583333333333334
2041-PNMGHX-TXJ,Female,73,14,Service,28,69000,14.8,1.164168,9.047832,Married,2,0,27,62,76.35,1565.6,Yes,47.15,2874.15,Yes,53.2,3245.6,Yes,Yes,176.7,7685.35,10.212,123.95725806451614
4626-BQZAUJ-V9K,Female,26,16,Sales,0,24000,11.7,1.297296,1.510704,Married,6,0,27,26,17.4,149.4,Yes,27.05,728.55,No,0,0,Yes,Yes,44.45,877.9499999999999,2.808,33.76730769230769
2969-ODPCDX-5DC,Female,24,17,Labor,1,29000,14,1.39258,2.66742,Unmarried,1,1,14,11,11.85,42.4,Yes,19.65,172.75,No,0,0,No,No,31.5,215.15,4.06,19.55909090909091
4974-FUBHDF-Z7L,Female,77,15,Professional,26,11000,10.2,0.255816,0.866184,Unmarried,1,1,21,72,268.35,6495.7,No,0,0,No,0,0,Yes,No,268.35,6495.7,1.1219999999999999,90.21805555555555
2525-OSULNV-0KS,Male,36,19,Professional,3,30000,15.5,0.41385,4.23615,Unmarried,1,1,24,37,20.1,233.85,No,0,0,No,0,0,No,No,20.1,233.85,4.65,6.32027027027027
4973-FHPBZQ-AAA,Male,55,14,Service,23,80000,6.5,0.0312,5.1688,Unmarried,1,1,25,47,36.75,524.4,No,0,0,No,0,0,No,No,36.75,524.4,5.2,11.157446808510638
4726-RQKGNB-WAK,Female,60,18,Professional,13,51000,7.8,1.209312,2.768688,Married,2,0,26,71,109.05,2586.85,Yes,55.15,4064.25,Yes,55.8,3819.5,Yes,Yes,220,10470.6,3.9779999999999998,147.47323943661974
6592-QBSENI-6Y4,Female,59,8,Sales,4,30000,2.8,0.26292,0.57708,Married,4,0,15,3,16.5,19.35,No,0,0,No,0,0,No,No,16.5,19.35,0.8400000000000001,6.45
5538-DRGHIE-PF0,Male,28,11,Misc,1,17000,8.2,0.150552,1.243448,Married,6,0,23,16,23.55,116.3,No,0,0,No,0,0,No,No,23.55,116.3,1.3940000000000001,7.26875
3550-PQUPPM-42T,Male,53,20,Sales,11,141000,9.9,9.589833,4.369167,Married,3,1,23,36,10.2,122,Yes,49.25,1693.6,Yes,61.25,2209.2,Yes,Yes,120.7,4024.7999999999997,13.959,111.8
9809-NBCXAS-1RB,Male,36,12,Sales,5,45000,8.3,0.88893,2.84607,Unmarried,2,0,26,38,20.25,244.7,Yes,27.4,1123.6,No,0,0,Yes,Yes,47.65,1368.3,3.7350000000000003,36.007894736842104
8733-EDAXNE-8DV,Male,47,20,Crafts,17,137000,13.7,3.303344,15.465656,Married,2,1,21,69,66.15,1473.3,Yes,44.85,2973,Yes,36.45,2475.25,Yes,Yes,147.45,6921.55,18.769,100.3123188405797
8170-YHWTSQ-825,Male,75,11,Sales,2,10000,2.4,0.03888,0.20112,Unmarried,1,0,24,46,59.4,884.75,No,0,0,No,0,0,No,No,59.4,884.75,0.24,19.233695652173914
1144-GVCZDP-8DV,Female,49,22,Professional,3,73000,9.2,1.437224,5.278776,Married,5,1,19,31,21,238,Yes,57.25,1740.25,Yes,62.3,1879.25,Yes,Yes,140.55,3857.5,6.715999999999999,124.43548387096774
8846-JJEGFU-I69,Female,59,13,Professional,15,63000,6,0.59346,3.18654,Unmarried,1,0,16,41,39,479,No,0,0,Yes,19.35,764.35,No,No,58.35,1243.35,3.78,30.32560975609756
4226-TEHKPJ-GKG,Female,55,12,Service,10,50000,5.1,1.0863,1.4637,Married,3,1,21,49,27.9,465.5,No,0,0,No,0,0,No,No,27.9,465.5,2.55,9.5
9714-LCYJJB-SCS,Male,25,14,Professional,1,50000,10.5,1.218,4.032,Unmarried,5,0,15,46,43.35,659.35,Yes,29.75,1319.5,No,0,0,Yes,No,73.1,1978.85,5.25,43.018478260869564
2866-TTOTKL-TA7,Male,78,11,Service,30,28000,9.8,1.635424,1.108576,Married,2,0,34,31,15,133.35,No,0,0,No,0,0,No,No,15,133.35,2.7439999999999998,4.301612903225807
7217-UECHSF-PCR,Female,48,11,Sales,2,23000,18.7,2.051577,2.249423,Unmarried,2,1,23,23,19.5,169.8,No,0,0,Yes,19.7,387.9,No,No,39.2,557.7,4.301,24.247826086956525
0197-AMEAYR-851,Male,47,19,Sales,1,75000,2.2,0.1023,1.5477,Married,2,0,22,21,18.45,141.25,Yes,26.35,516.3,No,0,0,No,Yes,44.8,657.55,1.6500000000000001,31.31190476190476
1743-WAHPKT-DNW,Male,75,10,Sales,11,28000,3.3,0.394548,0.529452,Married,2,1,20,16,12.9,75,No,0,0,No,0,0,No,No,12.9,75,0.924,4.6875
9840-VEWFQZ-W5V,Female,43,19,Sales,4,33000,12.6,2.116422,2.041578,Married,2,1,22,27,19.95,201.55,No,0,0,No,0,0,No,No,19.95,201.55,4.1579999999999995,7.464814814814815
6203-JLXPIJ-YQZ,Male,45,10,Labor,15,44000,13.6,0.98736,4.99664,Married,5,1,39,62,48.45,1016.85,No,0,0,No,0,0,Yes,No,48.45,1016.85,5.984,16.400806451612905
4166-WEDNXN-5RK,Male,21,16,Service,0,31000,9.2,0.77004,2.08196,Unmarried,1,0,25,13,14.25,47.55,No,0,0,No,0,0,No,No,14.25,47.55,2.852,3.6576923076923076
4643-WSLHBV-DM5,Male,53,21,Service,19,284000,9.4,15.456984,11.239016,Unmarried,1,1,29,48,40.05,661.55,No,0,0,Yes,57.05,2716.6,Yes,Yes,97.1,3378.1499999999996,26.695999999999998,70.378125
1441-JNZRPW-8KQ,Female,30,13,Labor,8,49000,2.1,0.193452,0.835548,Unmarried,1,1,34,3,12.15,11.15,No,0,0,No,0,0,No,Yes,12.15,11.15,1.029,3.716666666666667
5811-BKUTYY-F7I,Female,58,19,Labor,18,15000,7.6,0.08436,1.05564,Unmarried,1,0,20,42,49.65,710.95,No,0,0,No,0,0,No,No,49.65,710.95,1.14,16.927380952380954
0926-OZQUQX-GXA,Male,35,11,Professional,5,17000,2.3,0.254932,0.136068,Married,4,1,24,48,38.7,555.75,No,0,0,No,0,0,Yes,No,38.7,555.75,0.391,11.578125
5007-HXEVVL-NW5,Female,48,14,Professional,14,83000,11.3,4.820806,4.558194,Married,2,1,26,37,16.8,221.2,Yes,49.85,1886.7,Yes,50,1710.15,Yes,Yes,116.65,3818.05,9.379000000000001,103.19054054054054
8101-YOBRYX-REF,Female,57,15,Misc,8,82000,34.2,1.12176,26.92224,Unmarried,1,1,18,18,17.25,107.95,No,0,0,Yes,21,351.7,No,No,38.25,459.65,28.043999999999997,25.53611111111111
8267-UTARFV-TZK,Female,61,20,Service,11,62000,2.3,0.537602,0.888398,Married,4,1,23,30,16.8,174.05,No,0,0,No,0,0,No,Yes,16.8,174.05,1.4260000000000002,5.801666666666667
4432-KMTQXO-788,Female,56,19,Professional,6,138000,7,4.47258,5.18742,Married,2,0,19,66,66.15,1442.05,Yes,48.05,3054.8,Yes,60.5,4054.25,Yes,Yes,174.7,8551.1,9.66,129.5621212121212
9172-WITHKP-BXZ,Female,29,17,Sales,1,35000,5.7,1.079295,0.915705,Married,2,0,20,57,51.15,934,No,0,0,Yes,43.15,2437.2,Yes,Yes,94.3,3371.2,1.9949999999999999,59.1438596491228
1114-UELZXT-QT7,Female,68,11,Agriculture,36,35000,12.2,0.74298,3.52702,Married,2,0,19,64,53.1,1114,No,0,0,No,0,0,No,No,53.1,1114,4.27,17.40625
0992-DNDKIT-CUP,Male,22,16,Labor,0,20000,5.2,0.27976,0.76024,Married,4,0,19,29,21.6,220.9,Yes,21.4,559.85,No,0,0,No,Yes,43,780.75,1.04,26.92241379310345
2654-JRLXAI-HC7,Female,46,10,Professional,5,25000,7.7,0.4774,1.4476,Unmarried,1,0,26,31,27.6,322.5,No,0,0,No,0,0,No,No,27.6,322.5,1.925,10.403225806451612
0405-BACHZT-AYK,Male,24,17,Professional,0,33000,3.9,0.428571,0.858429,Married,3,1,30,5,17.85,38.25,Yes,41.85,163.4,Yes,25.4,89.6,No,Yes,85.1,291.25,1.287,58.25
4939-KCMADL-HLM,Female,78,16,Sales,18,32000,23.1,3.171168,4.220832,Married,2,0,22,39,20.25,234.75,No,0,0,Yes,32.2,1224.05,Yes,No,52.45,1458.8,7.3919999999999995,37.40512820512821
4724-UVMKNV-Z1I,Male,73,10,Professional,31,16000,3,0.29856,0.18144,Married,4,0,19,66,57.3,1231.75,No,0,0,No,0,0,No,No,57.3,1231.75,0.48,18.66287878787879
4231-HZEXGK-HRI,Female,26,20,Professional,0,64000,3.9,0.391872,2.104128,Unmarried,1,0,33,8,6.15,15.45,No,0,0,No,0,0,No,No,6.15,15.45,2.4960000000000004,1.93125
4979-WSWKYV-BSV,Female,44,15,Service,7,31000,14.8,2.105892,2.482108,Unmarried,1,0,21,52,36.75,629.55,No,0,0,No,0,0,Yes,No,36.75,629.55,4.588,12.106730769230769
7245-IUATZR-VLV,Male,30,12,Sales,1,18000,14.5,0.79866,1.81134,Married,4,0,21,27,9.6,86.3,No,0,0,No,0,0,No,No,9.6,86.3,2.61,3.196296296296296
2041-WAUPOH-84L,Male,44,8,Sales,9,41000,3.1,0.151249,1.119751,Unmarried,1,0,32,14,17.1,75.95,No,0,0,No,0,0,No,No,17.1,75.95,1.271,5.425
5472-GUGMBS-ZVK,Female,21,12,Service,1,22000,2.7,0.27561600000000003,0.318384,Married,2,1,29,6,13.65,26.35,No,0,0,No,0,0,Yes,No,13.65,26.35,0.5940000000000001,4.391666666666667
1811-FUILIP-L3S,Female,62,9,Crafts,31,14000,15,0.5754,1.5246,Married,2,1,18,70,125.25,2817.05,No,0,0,No,0,0,Yes,No,125.25,2817.05,2.1,40.24357142857143
2687-GRSYRT-YRW,Male,33,14,Sales,4,82000,6.9,3.745596,1.912404,Married,2,1,30,21,13.35,81.7,No,0,0,No,0,0,No,Yes,13.35,81.7,5.6579999999999995,3.8904761904761904
9184-ABVZGX-Z4V,Male,65,17,Sales,7,91000,0.3,0.094731,0.178269,Unmarried,1,1,17,68,66,1487.15,Yes,55.95,3887.2,Yes,84.85,5602.9,Yes,Yes,206.8,10977.25,0.273,161.43014705882354
9891-ZXATIA-55Z,Male,38,16,Labor,10,74000,4.7,0.699078,2.778922,Married,2,1,27,36,42.3,521.9,No,0,0,No,0,0,No,No,42.3,521.9,3.478,14.497222222222222
6246-WBWHHS-GFB,Female,34,15,Sales,3,46000,2.1,0.358386,0.607614,Unmarried,2,1,28,31,32.4,354.45,No,0,0,No,0,0,No,No,32.4,354.45,0.966,11.433870967741935
2212-AOYDMW-0ZV,Male,78,20,Professional,13,14000,8.2,0.307664,0.840336,Married,2,1,25,72,107.4,2537.2,No,0,0,No,0,0,Yes,No,107.4,2537.2,1.148,35.23888888888889
8268-VLELYK-IJK,Female,47,10,Service,17,68000,22,5.40056,9.55944,Unmarried,1,1,26,28,23.85,213.9,No,0,0,No,0,0,No,No,23.85,213.9,14.96,7.639285714285714
6023-TINSQC-7T4,Female,60,19,Labor,22,101000,7.2,1.498032,5.773968,Married,2,0,30,14,30.3,121.55,Yes,39.05,494.8,Yes,22.65,271.75,Yes,Yes,92,888.1,7.272,63.43571428571429
2332-AAKERL-PNS,Female,61,17,Professional,7,121000,9.1,4.085081,6.925919,Married,2,1,28,60,28.5,540,No,0,0,No,0,0,No,No,28.5,540,11.011,9
8888-ERPHEF-H3V,Female,77,11,Service,23,19000,15.3,0.866286,2.040714,Unmarried,1,0,30,32,15.15,150,No,0,0,No,0,0,No,No,15.15,150,2.907,4.6875
0213-HSPXOI-LYR,Female,21,16,Crafts,0,30000,13.5,1.22715,2.82285,Married,4,1,31,10,14.1,52.35,Yes,24.7,190.85,No,0,0,No,Yes,38.8,243.2,4.05,24.32
9095-NXHCNI-HXG,Female,31,19,Professional,1,43000,2.1,0.706146,0.196854,Unmarried,3,0,37,2,12.9,6.3,Yes,32.85,42.85,Yes,28.75,22.3,No,Yes,74.5,71.45,0.903,35.725
4115-RQKQTM-RXB,Male,74,11,Professional,26,18000,1.4,0.054432,0.197568,Unmarried,1,0,32,50,44.4,708.25,No,0,0,No,0,0,Yes,Yes,44.4,708.25,0.252,14.165
4730-MCQYEE-7XQ,Female,27,20,Sales,0,42000,16.4,1.370712,5.517288,Married,4,0,27,41,46.95,580.35,Yes,49,2046.8,Yes,49.25,2032.4,Yes,Yes,145.2,4659.55,6.888,113.64756097560976
4048-TDAQGT-9Y6,Male,64,10,Labor,36,327000,11.7,15.533154,22.725846,Married,2,0,23,72,302.1,7400.85,No,0,0,No,0,0,Yes,No,302.1,7400.85,38.259,102.78958333333334
4336-AZJUON-KO0,Male,72,18,Professional,9,30000,6.9,0.17595,1.89405,Married,2,1,20,40,37.2,507.25,No,0,0,No,0,0,Yes,No,37.2,507.25,2.07,12.68125
5495-XNMJLP-GBP,Male,66,16,Professional,21,96000,15.6,8.326656,6.649344,Married,2,1,31,70,73.65,1858.25,No,0,0,No,0,0,Yes,No,73.65,1858.25,14.975999999999999,26.54642857142857
9844-JTMVSQ-J5G,Male,55,16,Crafts,29,143000,10.9,9.66394,5.92306,Unmarried,1,1,23,69,55.5,1286.1,Yes,54.4,3676.2,No,0,0,Yes,Yes,109.9,4962.299999999999,15.587,71.91739130434782
6960-IEHYJM-SCB,Female,20,15,Sales,0,25000,6.8,0.9061,0.7939,Unmarried,1,0,32,7,10.95,29.1,Yes,35.95,210.55,Yes,30.8,186,Yes,Yes,77.7,425.65,1.7000000000000002,60.80714285714286
2566-HGSGRK-ROU,Male,59,18,Sales,7,68000,6.5,2.14812,2.27188,Unmarried,1,0,18,56,59.85,1154.15,Yes,61.9,3395,Yes,74.8,4242.6,Yes,Yes,196.55,8791.75,4.42,156.99553571428572
7164-HJCLUK-29N,Female,69,8,Professional,16,78000,12.7,6.68655,3.21945,Married,2,0,23,72,140.1,3491.9,No,0,0,No,0,0,Yes,No,140.1,3491.9,9.906,48.49861111111111
5052-NKTQMH-BKA,Female,43,13,Sales,2,38000,6.5,0.45448,2.01552,Unmarried,1,1,24,17,19.8,114.15,No,0,0,No,0,0,No,No,19.8,114.15,2.4699999999999998,6.714705882352941
8802-ZPAEGX-52Q,Male,62,15,Misc,7,56000,27.7,2.450896,13.061104,Married,3,0,21,54,31.35,553.75,No,0,0,No,0,0,Yes,No,31.35,553.75,15.512,10.25462962962963
0309-KOSUPM-CSV,Male,32,14,Professional,5,65000,14.1,4.133415,5.031585,Unmarried,1,1,27,10,11.1,29.9,Yes,32.95,261.2,No,0,0,No,Yes,44.050000000000004,291.09999999999997,9.165,29.109999999999996
8514-TCRHWV-DPM,Male,78,10,Crafts,28,17000,20.8,0.625872,2.910128,Unmarried,1,0,25,26,46.05,378.7,No,0,0,No,0,0,No,No,46.05,378.7,3.5359999999999996,14.565384615384614
7441-RFDNVF-7SP,Male,64,15,Professional,11,62000,17.5,0.42315,10.42685,Married,2,1,25,72,220.65,5166.2,Yes,44.55,3259.85,No,0,0,Yes,No,265.2,8426.05,10.85,117.0284722222222
1150-ESKSKG-FRM,Male,75,11,Sales,11,11000,8,0.22616,0.65384,Unmarried,1,0,29,42,34.35,457.4,No,0,0,No,0,0,No,No,34.35,457.4,0.88,10.890476190476189
7196-SOFWOP-3K6,Male,74,19,Professional,20,108000,9.3,4.549932,5.494068,Married,2,1,27,69,67.95,1550.1,No,0,0,No,0,0,Yes,Yes,67.95,1550.1,10.044,22.465217391304346
9083-WGKZAH-8XR,Female,20,15,Sales,0,19000,7.6,0.280136,1.163864,Unmarried,1,1,24,1,6.3,2.1,Yes,25.55,25.55,No,0,0,No,Yes,31.85,27.650000000000002,1.444,27.650000000000002
8552-ZQJYEJ-BW1,Male,65,15,Sales,6,26000,11.1,0.70707,2.17893,Unmarried,1,1,26,70,204.3,4632,Yes,35.8,2430.95,No,0,0,Yes,No,240.10000000000002,7062.95,2.8859999999999997,100.89928571428571
3686-HKVHPL-GU6,Female,66,16,Sales,3,21000,21.2,1.709568,2.742432,Unmarried,1,1,25,62,30.6,625.05,No,0,0,No,0,0,Yes,No,30.6,625.05,4.452,10.081451612903225
4923-DBKSJV-D3H,Female,45,19,Service,10,82000,7,1.90568,3.83432,Married,2,0,19,14,6.75,24.65,Yes,31.35,438.25,No,0,0,No,No,38.1,462.9,5.74,33.06428571428571
4588-ODXEGS-UGY,Female,44,13,Crafts,13,60000,12.5,2.2125,5.2875,Married,2,1,12,70,96.9,2239.45,No,0,0,No,0,0,Yes,No,96.9,2239.45,7.5,31.992142857142856
2689-VYLAYC-OSJ,Female,59,11,Labor,21,100000,5.9,1.8644,4.0356,Unmarried,1,1,21,63,60,1292.85,No,0,0,No,0,0,No,No,60,1292.85,5.8999999999999995,20.52142857142857
1086-IKBULJ-52W,Female,38,15,Professional,8,81000,10.9,4.32621,4.50279,Married,2,1,28,1,4.2,1.4,No,0,0,No,0,0,No,No,4.2,1.4,8.829,1.4
3149-SOXJIB-AZ6,Male,65,13,Service,9,34000,17.3,2.517496,3.364504,Unmarried,1,0,20,36,19.2,241.75,No,0,0,No,0,0,No,No,19.2,241.75,5.882,6.715277777777778
0198-MUHWOZ-918,Female,26,15,Sales,1,23000,10.3,0.61594,1.75306,Unmarried,1,0,19,8,15.45,58.4,No,0,0,No,0,0,No,No,15.45,58.4,2.369,7.3
4487-UIOHOC-Y6X,Male,70,16,Professional,11,107000,14.1,1.191873,13.895127,Unmarried,1,0,30,56,38.25,760.4,No,0,0,No,0,0,Yes,No,38.25,760.4,15.087,13.578571428571427
3319-BOOXCD-PSQ,Female,65,18,Professional,17,66000,6.9,2.609442,1.944558,Married,2,1,36,65,67.5,1397.15,No,0,0,No,0,0,Yes,No,67.5,1397.15,4.554,21.494615384615386
3630-CTGBIF-YIX,Female,61,9,Professional,31,107000,3.6,1.88748,1.96452,Unmarried,3,0,27,63,34.8,695.8,No,0,0,No,0,0,No,No,34.8,695.8,3.8520000000000003,11.044444444444444
2594-FSOPWS-H02,Male,63,13,Sales,3,69000,3.5,1.335495,1.079505,Unmarried,1,1,22,45,23.4,346.95,Yes,28.6,1210,No,0,0,No,No,52,1556.95,2.415,34.59888888888889
3335-MFSNGA-J31,Female,70,11,Service,29,224000,2.6,1.36864,4.45536,Unmarried,1,1,19,71,86.4,2049.45,No,0,0,No,0,0,No,No,86.4,2049.45,5.824,28.865492957746476
3239-YTOCDY-213,Male,64,22,Labor,21,28000,8.1,1.295028,0.972972,Married,2,1,28,68,70.8,1728.1,Yes,39.45,2674.25,No,0,0,Yes,Yes,110.25,4402.35,2.268,64.7404411764706
1226-OKZENG-YMZ,Female,56,14,Sales,3,31000,0.9,0.175491,0.103509,Married,2,1,16,26,30.3,271.2,Yes,28.7,694.7,No,0,0,No,No,59,965.9000000000001,0.279,37.150000000000006
1946-CHZAKX-7PK,Male,43,14,Sales,1,32000,10.1,1.22816,2.00384,Married,2,0,20,26,15.75,114.85,No,0,0,No,0,0,No,No,15.75,114.85,3.2319999999999998,4.417307692307692
1587-LHMXIB-2NP,Male,53,10,Agriculture,29,82000,4.8,0.842304,3.093696,Unmarried,1,1,29,59,48.9,921,No,0,0,No,0,0,No,No,48.9,921,3.936,15.610169491525424
8916-LWSVNK-W0Q,Female,36,12,Crafts,8,54000,9.6,0.762048,4.421952,Married,2,1,24,8,11.4,25.3,No,0,0,No,0,0,No,No,11.4,25.3,5.184,3.1625
3755-JZHSNC-YVQ,Female,52,9,Crafts,19,42000,3,0.47628,0.78372,Married,2,0,22,72,176.55,4276.15,No,0,0,No,0,0,Yes,No,176.55,4276.15,1.26,59.39097222222222
6055-WFKEYT-97B,Male,44,17,Labor,13,58000,7.5,0.90045,3.44955,Unmarried,1,0,29,18,17.7,110.5,Yes,26.65,464.05,No,0,0,Yes,No,44.349999999999994,574.55,4.35,31.91944444444444
4898-VWAWIL-UWT,Female,48,13,Professional,3,73000,4.6,1.722654,1.635346,Unmarried,1,0,24,59,90.3,1778,No,0,0,Yes,28.25,1630.1,Yes,No,118.55,3408.1,3.3579999999999997,57.764406779661016
0161-ZGCKJD-1M2,Male,60,19,Professional,6,36000,14.1,1.258848,3.817152,Unmarried,1,0,30,5,19.2,34.85,Yes,29.45,117.6,No,0,0,No,Yes,48.65,152.45,5.0760000000000005,30.49
3330-YCHJNM-YA1,Female,67,19,Sales,3,51000,6.7,1.189116,2.227884,Unmarried,1,1,23,62,78.3,1620.5,Yes,55.4,3509.6,Yes,44,2724,Yes,Yes,177.7,7854.1,3.417,126.67903225806452
0481-RFVYIH-H7J,Male,77,15,Agriculture,28,27000,6.2,0.297972,1.376028,Married,2,1,29,70,85.35,2011.2,No,0,0,No,0,0,Yes,No,85.35,2011.2,1.674,28.731428571428573
9830-UFEBRB-WOE,Male,72,9,Agriculture,34,36000,10.5,0.87696,2.90304,Unmarried,1,1,33,30,40.8,411.55,No,0,0,No,0,0,No,No,40.8,411.55,3.78,13.718333333333334
3912-EDPWEY-1ZP,Female,44,19,Sales,1,59000,5.9,0.981642,2.499358,Unmarried,1,1,26,48,25.35,423.9,No,0,0,No,0,0,Yes,No,25.35,423.9,3.481,8.831249999999999
4629-OUAIRK-MZH,Male,75,17,Service,35,41000,14,2.39358,3.34642,Married,2,1,22,61,26.7,581.45,No,0,0,No,0,0,Yes,No,26.7,581.45,5.74,9.531967213114754
9024-QQZDBM-RN4,Male,78,14,Professional,18,59000,3.4,0.529584,1.476416,Unmarried,1,1,25,71,55.35,1305.4,No,0,0,No,0,0,Yes,No,55.35,1305.4,2.0060000000000002,18.385915492957746
