"PHRMCY_NBR","PHRMCY_NAM","PHRMCY_NBR_SALES_REVENUE"
"1419276775827610330","GNP PHARMACY #56",NA
"1420213719757719547","GNP PHARMACY #57",NA
"1430495602286098780","GNP PHARMACY #58",NA
"1430963927123078142","GNP PHARMACY #59",NA
"1446797106286880298","GNP PHARMACY #60",NA
"1448004932214894578","GNP PHARMACY #61",NA
"1460705411861238842","GNP PHARMACY #62",NA
"1469327144772490678","GNP PHARMACY #63",NA
"1472475709074639245","GNP PHARMACY #64",NA
"1492634350488830932","GNP PHARMACY #65",NA
"1502794958423678460","GNP PHARMACY #66",NA
"1510420119331403714","GNP PHARMACY #67",NA
"1513838608214213750","GNP PHARMACY #68",NA
"152096245896363092","GNP PHARMACY #69",NA
"1521239162479993409","GNP PHARMACY #70",NA
"1547868311421114940","GNP PHARMACY #71",NA
"1555177074347668191","GNP PHARMACY #72",NA
"1561606409142364354","GNP PHARMACY #73",NA
"1561873112348432815","GNP PHARMACY #74",NA
"1576900079803318396","GNP PHARMACY #76",NA
"1586727423747571475","GNP PHARMACY #77",NA
"1593280315939490835","GNP PHARMACY #78",NA
"159707482795825630","GNP PHARMACY #79",NA
"1599475655377412284","GNP PHARMACY #80",NA
"1607492026458765804","GNP PHARMACY #81",NA
"1610936019878274011","GNP PHARMACY #82",NA
"1626447500121526344","GNP PHARMACY #83",NA
"1628184763160683977","GNP PHARMACY #84",NA
"1638104015440807122","GNP PHARMACY #85",NA
"1648696346607114797","GNP PHARMACY #86",NA
"1659709992619312505","GNP PHARMACY #87",NA
"166774838292779567","GNP PHARMACY #88",NA
"1674782067426582175","GNP PHARMACY #89",NA
"1685316234878420089","GNP PHARMACY #90",NA
"1698332211359864948","GNP PHARMACY #91",NA
"1703402693731953819","GNP PHARMACY #92",NA
"1715870314364811275","GNP PHARMACY #93",NA
"1719820591528215636","GNP PHARMACY #94",NA
"172333668137395269","GNP PHARMACY #95",NA
"1726192772988210924","GNP PHARMACY #96",NA
"173248671143235566","GNP PHARMACY #97",NA
"1739129596920377294","GNP PHARMACY #98",NA
"175231288168740066","GNP PHARMACY #99",NA
"1755242237025283085","GNP PHARMACY #100",NA
"1777810515716506646","GNP PHARMACY #101",NA
"1796496573924257677","GNP PHARMACY #103",NA
"1798436288513677131","GNP PHARMACY #104",NA
"1811114687542818854","GNP PHARMACY #105",NA
"1824189926188364044","GNP PHARMACY #106",NA
"1831744446008125042","GNP PHARMACY #107",NA
"1840258152652927014","GNP PHARMACY #108",NA
"1841333058502382376","GNP PHARMACY #109",NA
"1844831024148012495","GNP PHARMACY #111",NA
"1853406506712861142","GNP PHARMACY #112",NA
"1855204184701636739","GNP PHARMACY #113",NA
"1860369715013904890","GNP PHARMACY #114",NA
"1860739563718662721","GNP PHARMACY #115",NA
"1871751586143969422","GNP PHARMACY #117",NA
"1878897022451838545","GNP PHARMACY #118",NA
"1880101461554772892","GNP PHARMACY #119",NA
"188064871430953105","GNP PHARMACY #120",NA
"1886512868118234782","GNP PHARMACY #121",NA
"1898957398985678826","GNP PHARMACY #122",NA
"1899067805013831033","GNP PHARMACY #123",NA
"1900503318383015547","GNP PHARMACY #124",NA
"1903802146814014412","GNP PHARMACY #125",NA
"1909701327313021193","GNP PHARMACY #126",NA
"1927430689240447651","GNP PHARMACY #127",NA
"192908973673730060","GNP PHARMACY #128",NA
"1932302700263149726","GNP PHARMACY #129",NA
"1955472930466702013","GNP PHARMACY #130",NA
"1962833957888428409","GNP PHARMACY #131",NA
"1971462219135010363","GNP PHARMACY #132",NA
"1981187823075612996","GNP PHARMACY #133",NA
"1988358159669623789","GNP PHARMACY #134",NA
"2013167317795897159","GNP PHARMACY #135",NA
"2017551674582697432","GNP PHARMACY #136",NA
"2018717881683209932","GNP PHARMACY #137",NA
"2020513583113953725","GNP PHARMACY #138",NA
"2020849158527091255","GNP PHARMACY #139",NA
"2022662634168205797","GNP PHARMACY #140",NA
"202880270641672929","GNP PHARMACY #141",NA
"2049236583365118298","GNP PHARMACY #142",NA
"2077691720139511232","GNP PHARMACY #144",NA
"2080529287036496964","GNP PHARMACY #145",NA
"2102858779495878808","GNP PHARMACY #148",NA
"2109682434798767501","GNP PHARMACY #149",NA
"2125499408901198183","GNP PHARMACY #151",NA
"2128113396617738734","GNP PHARMACY #152",NA
"2140264107560853494","GNP PHARMACY #154",NA
"2146445694114993651","GNP PHARMACY #155",NA
"2158057907507147265","GNP PHARMACY #156",NA
"2161495203513737207","GNP PHARMACY #157",NA
"2170859251559779990","GNP PHARMACY #158",NA
"2173969719601996952","GNP PHARMACY #159",NA
"2185292976022328904","GNP PHARMACY #160",NA
"2202970372735235579","GNP PHARMACY #161",NA
"2207745098325681122","GNP PHARMACY #162",NA
"2210726762770058914","GNP PHARMACY #163",NA
"2210855056223159761","GNP PHARMACY #164",NA
"2222633876720505494","GNP PHARMACY #165",NA
"2235698282629653702","GNP PHARMACY #167",NA
"2246096654304627118","GNP PHARMACY #168",NA
"2247111312138928288","GNP PHARMACY #169",NA
"2263360590205043776","GNP PHARMACY #170",NA
"2272416768892464772","GNP PHARMACY #171",NA
"2281344178566703906","GNP PHARMACY #172",NA
"2285442449746647738","GNP PHARMACY #173",NA
"2296078627921869370","GNP PHARMACY #174",NA
"2298852241474974362","GNP PHARMACY #175",NA
"2299615936445831763","GNP PHARMACY #176",NA
"2302591953934318263","GNP PHARMACY #177",NA
"2336923511615818845","GNP PHARMACY #178",NA
"2339266754720879155","GNP PHARMACY #179",NA
"2344604193569544986","GNP PHARMACY #180",NA
"2357247903483210162","GNP PHARMACY #181",NA
"2357990526179002870","GNP PHARMACY #182",NA
"2359692451081395376","GNP PHARMACY #183",NA
"2366109482619484336","GNP PHARMACY #184",NA
"2366821326560064620","GNP PHARMACY #185",NA
"2371215529310244519","GNP PHARMACY #186",NA
"2391221834989068049","GNP PHARMACY #187",NA
"2403992561737401467","GNP PHARMACY #188",NA
"2405096593577600229","GNP PHARMACY #189",NA
"2415684547782795278","GNP PHARMACY #190",NA
"2419356312358847475","GNP PHARMACY #191",NA
"2422034076535635987","GNP PHARMACY #192",NA
"2429096179338602924","GNP PHARMACY #193",NA
"243426253519024307","GNP PHARMACY #194",NA
"2447973262608059659","GNP PHARMACY #195",NA
"2467135693952918677","GNP PHARMACY #197",NA
"2477341082098708967","GNP PHARMACY #199",NA
"2494609331252026398","GNP PHARMACY #202",NA
"2496491812627036795","GNP PHARMACY #203",NA
"2504004702450567508","GNP PHARMACY #204",NA
"2514050334879231330","GNP PHARMACY #206",NA
"2521923372870603455","GNP PHARMACY #207",NA
"2521976042199446142","GNP PHARMACY #208",NA
"2530191082514647603","GNP PHARMACY #209",NA
"2547991796291695918","GNP PHARMACY #210",NA
"256578946717101709","GNP PHARMACY #212",NA
"2570109909881968595","GNP PHARMACY #213",NA
"2596145720244032607","GNP PHARMACY #215",NA
"2604095083229983327","GNP PHARMACY #216",NA
"2611999236354475340","GNP PHARMACY #217",NA
"2633472871402496135","GNP PHARMACY #218",NA
"2634446448990403365","GNP PHARMACY #219",NA
"2646494473754231928","GNP PHARMACY #220",NA
"2658194162404582921","GNP PHARMACY #221",NA
"2682141041557775024","GNP PHARMACY #222",NA
"2687659852956230465","GNP PHARMACY #223",NA
"2691529582873325264","GNP PHARMACY #224",NA
"2695916150372775207","GNP PHARMACY #225",NA
"2706543436392522086","GNP PHARMACY #226",NA
"2725351349637494215","GNP PHARMACY #227",NA
"2738160743297496015","GNP PHARMACY #228",NA
"2738222442882596687","GNP PHARMACY #229",NA
"2752978408496932736","GNP PHARMACY #230",NA
"2758904074535580613","GNP PHARMACY #231",NA
"2761216035197605010","GNP PHARMACY #233",NA
"276247931266325460","GNP PHARMACY #234",NA
"2768592056922338023","GNP PHARMACY #235",NA
"2786768342837913272","GNP PHARMACY #236",NA
"280583528978649821","GNP PHARMACY #237",NA
"2810639936210845290","GNP PHARMACY #238",NA
"2812406386463526437","GNP PHARMACY #239",NA
"2820040449715362136","GNP PHARMACY #240",NA
"282453216995442891","GNP PHARMACY #241",NA
"2824938890957929739","GNP PHARMACY #242",NA
"2827653228247441729","GNP PHARMACY #243",NA
"2842813052422127596","GNP PHARMACY #245",NA
"2857318763850909085","GNP PHARMACY #246",NA
"2860407128846686728","GNP PHARMACY #247",NA
"2860423977158346215","GNP PHARMACY #248",NA
"2880031759248019479","GNP PHARMACY #250",NA
"2885500257010509761","GNP PHARMACY #251",NA
"2904699194377795031","GNP PHARMACY #252",NA
"290518587337417462","GNP PHARMACY #253",NA
"290714369468694317","GNP PHARMACY #254",NA
"2911075813382936994","GNP PHARMACY #255",NA
"2920613090323731686","GNP PHARMACY #256",NA
"2920638719869583885","GNP PHARMACY #257",NA
"292663819886667034","GNP PHARMACY #258",NA
"2934625417882104441","GNP PHARMACY #259",NA
"2952455635957727380","GNP PHARMACY #260",NA
"29654466873870325","GNP PHARMACY #261",NA
"2966278661004004226","GNP PHARMACY #262",NA
"296879239315228292","GNP PHARMACY #263",NA
"29746077410861287","GNP PHARMACY #264",NA
"299764049885959929","GNP PHARMACY #266",NA
"3008167137843055983","GNP PHARMACY #267",NA
"3009511363937949368","GNP PHARMACY #268",NA
"302100408537223834","GNP PHARMACY #270",NA
"3032354319528181550","GNP PHARMACY #271",NA
"3058423167411467128","GNP PHARMACY #272",NA
"3074534950993278741","GNP PHARMACY #273",NA
"3075262850862765953","GNP PHARMACY #274",NA
"3094918456222931615","GNP PHARMACY #275",NA
"3096710733544170912","GNP PHARMACY #276",NA
"3099596860126462610","GNP PHARMACY #277",NA
"3110997941455648317","GNP PHARMACY #278",NA
"3126173498991416496","GNP PHARMACY #279",NA
"3133404178685277198","GNP PHARMACY #280",NA
"3136833271692091934","GNP PHARMACY #281",NA
"3143739177300567217","GNP PHARMACY #282",NA
"3146572304094278663","GNP PHARMACY #283",NA
"3150269609129196996","GNP PHARMACY #284",NA
"3152286758389408775","GNP PHARMACY #285",NA
"3169184220122512354","GNP PHARMACY #287",NA
"3171903510287978419","GNP PHARMACY #288",NA
"3175089049902559510","GNP PHARMACY #289",NA
"3187716742894858096","GNP PHARMACY #290",NA
"3190497977285982079","GNP PHARMACY #291",NA
"3191155010725799957","GNP PHARMACY #292",NA
"3192059643444125983","GNP PHARMACY #293",NA
"3195998641401002856","GNP PHARMACY #294",NA
"319992310759981127","GNP PHARMACY #295",NA
"3200327616739881376","GNP PHARMACY #296",NA
"3205924598834445208","GNP PHARMACY #298",NA
"3214679382131486233","GNP PHARMACY #299",NA
"3216704393386854130","GNP PHARMACY #301",NA
"3216895994651044650","GNP PHARMACY #302",NA
"3218977514297219567","GNP PHARMACY #303",NA
"3232591195213936118","GNP PHARMACY #304",NA
"3244342499656755558","GNP PHARMACY #306",NA
"3284704975863292825","GNP PHARMACY #308",NA
"3300700989693302544","GNP PHARMACY #309",NA
"3310319963763740437","GNP PHARMACY #310",NA
"3313386311268012159","GNP PHARMACY #311",NA
"334377720035012935","GNP PHARMACY #312",NA
"3348447749336161212","GNP PHARMACY #314",NA
"335179949878697124","GNP PHARMACY #315",NA
"3384301584334184099","GNP PHARMACY #316",NA
"3384537367222750070","GNP PHARMACY #317",NA
"3385267891691153174","GNP PHARMACY #318",NA
"3401676789836004270","GNP PHARMACY #320",NA
"3420864147910217720","GNP PHARMACY #321",NA
"3421191787057599275","GNP PHARMACY #322",NA
"3425823772368729313","GNP PHARMACY #323",NA
"3429150754902821945","GNP PHARMACY #324",NA
"344423352960717667","GNP PHARMACY #325",NA
"3446120256656824115","GNP PHARMACY #326",NA
"3447632665637166447","GNP PHARMACY #327",NA
"3447821596383611052","GNP PHARMACY #328",NA
"3467221308694519678","GNP PHARMACY #329",NA
"3471756043975910988","GNP PHARMACY #330",NA
"3488445608926373561","GNP PHARMACY #331",NA
"3491753221171410842","GNP PHARMACY #332",NA
"3503568118867290501","GNP PHARMACY #333",NA
"3504304910911993217","GNP PHARMACY #334",NA
"3508008965047862640","GNP PHARMACY #335",NA
"352553083027809773","GNP PHARMACY #336",NA
"3533847602478041833","GNP PHARMACY #337",NA
"3534040594111486797","GNP PHARMACY #338",NA
"3539154001645920711","GNP PHARMACY #339",NA
"3547405584626609820","GNP PHARMACY #340",NA
"355557766469599078","GNP PHARMACY #341",NA
"3562597123179579934","GNP PHARMACY #342",NA
"3585973796332299879","GNP PHARMACY #343",NA
"3605882755214346843","GNP PHARMACY #344",NA
"3606985165369077211","GNP PHARMACY #345",NA
"3607712814458519353","GNP PHARMACY #346",NA
"3611842693922313723","GNP PHARMACY #347",NA
"3613558139722801923","GNP PHARMACY #348",NA
"3617496515326470869","GNP PHARMACY #349",NA
"3622646347492083370","GNP PHARMACY #350",NA
"3631475969958265823","GNP PHARMACY #351",NA
"3670026726251947928","GNP PHARMACY #352",NA
"3672741605275018084","GNP PHARMACY #353",NA
"3680688056718193451","GNP PHARMACY #354",NA
"3703418714534005092","GNP PHARMACY #356",NA
"370609565989903806","GNP PHARMACY #357",NA
"3716241695992874944","GNP PHARMACY #358",NA
"3718845786821024861","GNP PHARMACY #359",NA
"372194152374937301","GNP PHARMACY #360",NA
"3743720187423827873","GNP PHARMACY #362",NA
"3746258293434301567","GNP PHARMACY #363",NA
"3752421386731363407","GNP PHARMACY #364",NA
"3764888072649328268","GNP PHARMACY #365",NA
"3779980309146245525","GNP PHARMACY #366",NA
"3782256558650047555","GNP PHARMACY #367",NA
"3791675495642597068","GNP PHARMACY #368",NA
"3792446395637091622","GNP PHARMACY #369",NA
"3793077773428359868","GNP PHARMACY #370",NA
"3796994426597251026","GNP PHARMACY #371",NA
"3798289414948528523","GNP PHARMACY #372",NA
"3824706160713549397","GNP PHARMACY #373",NA
"3832252485382449155","GNP PHARMACY #374",NA
"3836769461345648097","GNP PHARMACY #375",NA
"3846245501629877213","GNP PHARMACY #376",NA
"3851275575365874764","GNP PHARMACY #377",NA
"3856372076863482000","GNP PHARMACY #378",NA
"3858724636244030543","GNP PHARMACY #379",NA
"3891542658432006697","GNP PHARMACY #381",NA
"3895730101286281529","GNP PHARMACY #382",NA
"3896836958049059694","GNP PHARMACY #383",NA
"3901591803698141569","GNP PHARMACY #384",NA
"3902888402945828969","GNP PHARMACY #385",NA
"3921041945961294952","GNP PHARMACY #386",NA
"3965489755109778419","GNP PHARMACY #387",NA
"3974058302019115348","GNP PHARMACY #388",NA
"4000431068308946561","GNP PHARMACY #390",NA
"4005246439908142934","GNP PHARMACY #391",NA
"4005864998627448500","GNP PHARMACY #392",NA
"401445627484680327","GNP PHARMACY #393",NA
"4021410703555984858","GNP PHARMACY #394",NA
"4040370958795739870","GNP PHARMACY #396",NA
"4043005667945888518","GNP PHARMACY #397",NA
"4044414609140311255","GNP PHARMACY #398",NA
"4053198264544929435","GNP PHARMACY #399",NA
"4053445537556705844","GNP PHARMACY #400",NA
"406456125322272947","GNP PHARMACY #401",NA
"4069150232410083583","GNP PHARMACY #402",NA
"4070012981221191021","GNP PHARMACY #403",NA
"4077025990600984687","GNP PHARMACY #404",NA
"4086735536061666676","GNP PHARMACY #405",NA
"4097864406964773095","GNP PHARMACY #406",NA
"4101090871010102789","GNP PHARMACY #407",NA
"4102075198602969871","GNP PHARMACY #408",NA
"4104564614678804400","GNP PHARMACY #409",NA
"4108601263639132243","GNP PHARMACY #410",NA
"4109533506208163113","GNP PHARMACY #411",NA
"4110341869359084108","GNP PHARMACY #412",NA
"4118866886349664283","GNP PHARMACY #413",NA
"4130383862129366005","GNP PHARMACY #414",NA
"4140267160627226382","GNP PHARMACY #415",NA
"4146660092420408999","GNP PHARMACY #416",NA
"4156533615253616130","GNP PHARMACY #417",NA
"4166097203778531813","GNP PHARMACY #418",NA
"417254040911106203","GNP PHARMACY #419",NA
"4173986334000073718","GNP PHARMACY #420",NA
"4181027872607987429","GNP PHARMACY #421",NA
"4194937199395550984","GNP PHARMACY #422",NA
"4197411661441354497","GNP PHARMACY #423",NA
"4201221384510795199","GNP PHARMACY #424",NA
"4202256251204811182","GNP PHARMACY #425",NA
"4202531771625123682","GNP PHARMACY #426",NA
"420667309571464567","GNP PHARMACY #427",NA
"4221978479701299019","GNP PHARMACY #428",NA
"4222510065300493574","GNP PHARMACY #429",NA
"4228121409250037047","GNP PHARMACY #430",NA
"4229147575799177974","GNP PHARMACY #431",NA
"4239205815300271384","GNP PHARMACY #432",NA
"4243713822727227660","GNP PHARMACY #433",NA
"4248148459324664159","GNP PHARMACY #434",NA
"4257996418857791381","GNP PHARMACY #435",NA
"4263691586517524576","GNP PHARMACY #436",NA
"4266135588610786415","GNP PHARMACY #437",NA
"4293109858303641785","GNP PHARMACY #438",NA
"4297650184855969414","GNP PHARMACY #439",NA
"4304006138080503359","GNP PHARMACY #440",NA
"4308070449393583871","GNP PHARMACY #441",NA
"4313705360747887814","GNP PHARMACY #442",NA
"4320625475631932711","GNP PHARMACY #443",NA
"4322428476680331985","GNP PHARMACY #444",NA
"4341531607080706448","GNP PHARMACY #446",NA
"436032894160884592","GNP PHARMACY #447",NA
"4377706164321547119","GNP PHARMACY #449",NA
"4381838140254828907","GNP PHARMACY #450",NA
"4397386925507920729","GNP PHARMACY #452",NA
"442649497510710953","GNP PHARMACY #454",NA
"4452006995176232410","GNP PHARMACY #455",NA
"4455667890446519686","GNP PHARMACY #456",NA
"4461873291328007147","GNP PHARMACY #457",NA
"4487249706320930241","GNP PHARMACY #459",NA
"4488217628867581951","GNP PHARMACY #460",NA
"4491388515993999448","GNP PHARMACY #461",NA
"4495440570582392073","GNP PHARMACY #462",NA
"450251010987704942","GNP PHARMACY #463",NA
"4503135860675309090","GNP PHARMACY #464",NA
"4508361065124130649","GNP PHARMACY #465",NA
"4519404694979729981","GNP PHARMACY #466",NA
"4529909086980976363","GNP PHARMACY #467",NA
"4531994445571210704","GNP PHARMACY #468",NA
"4533119979845944018","GNP PHARMACY #469",NA
"4539730679297084679","GNP PHARMACY #470",NA
"454923118524179916","GNP PHARMACY #471",NA
"4551309422599995053","GNP PHARMACY #472",NA
"4556679290397987046","GNP PHARMACY #473",NA
"4560305324376977972","GNP PHARMACY #474",NA
"45647414697479627","GNP PHARMACY #475",NA
"4565754413366638163","GNP PHARMACY #476",NA
"4576889916977837299","GNP PHARMACY #477",NA
"4585864185360716021","GNP PHARMACY #478",NA
"4586623165735816115","GNP PHARMACY #479",NA
"4608368862046116494","GNP PHARMACY #480",NA
"461090813055908060","GNP PHARMACY #481",NA
"4612892363052099677","GNP PHARMACY #482",NA
"4613433900454471974","GNP PHARMACY #483",NA
"4615081609001962853","GNP PHARMACY #484",NA
"4643845010114672808","GNP PHARMACY #485",NA
"4648225933502476862","GNP PHARMACY #486",NA
"465159817338599619","GNP PHARMACY #487",NA
"4652393880526085756","GNP PHARMACY #488",NA
"4654349554680583738","GNP PHARMACY #489",NA
"4658468062967725286","GNP PHARMACY #490",NA
"4660783041797003973","GNP PHARMACY #491",NA
"4666769388611388270","GNP PHARMACY #492",NA
"4670164778977621774","GNP PHARMACY #493",NA
"4671225723526447021","GNP PHARMACY #494",NA
"4675393702713655233","GNP PHARMACY #495",NA
"4677516400738810426","GNP PHARMACY #496",NA
"4714242159857409630","GNP PHARMACY #498",NA
"4761310097215794297","GNP PHARMACY #501",NA
"4761856814505910953","GNP PHARMACY #502",NA
"4769297689170472047","GNP PHARMACY #503",NA
"4772388665717680860","GNP PHARMACY #504",NA
"4776990044469917435","GNP PHARMACY #505",NA
"4784160630850516409","GNP PHARMACY #506",NA
"4792236675277178468","GNP PHARMACY #507",NA
"4801036624168486921","GNP PHARMACY #508",NA
"4802328311077743766","GNP PHARMACY #509",NA
"4804928947124935158","GNP PHARMACY #510",NA
"4808030707625861521","GNP PHARMACY #511",NA
"4809134363084857288","GNP PHARMACY #512",NA
"4817595315796183963","GNP PHARMACY #513",NA
"4822958535920257604","GNP PHARMACY #514",NA
