"PROD_NBR","PROD_DESC","monthlySaleValue"
"8770140587","GNP CLEAR LAX PWD 17.9 OZ",534.07
"8770189707","GNP STOOL SFT AND LAX TAB 100",532.84
"71683785525","PEPCID MAX TABLET ORIGINAL 25CT",528.73
"34580223089","GUAIFENESIN-PSUED HCL 600-60MG ER TAB 18",528.31
"3600038533","DEPEND UNDERWEAR MEN MAXABS SM/MD 2X19CT",528.15
"32390001424","NYQUIL ORIGINAL 8OZ",527.83
"7431202099","COQ-10 200MG SOFTGEL 45CT NAT BOUNTY",527.55
"3504600105","VIT D 1000IU TABLET 100CT WINDML",525.12
"73221630004","ZICAM RAPIDMELT CHERRY 25CT",522.89
"7431219939","VIT D3 2000IU SOFTGEL 240CT NAT BOUNTY",522.75
"4910040015","CULTURELLE KIDS PORBIOTIC CHEW 30CT",516.14
"8770140271","GNP STOOL SFT 250 MG SGC 100",513.45
"8770155205","GNP SALINE .65% NASAL SPY 44 ML",512.08
"30085075605","AFRIN SPRAY 15ML",509.83
"30573015020","ADVIL TABLET 24CT",507.64
"36382402328","MUCINEX MAX STRENGTH TABLET 28CT",506.3
"30005475850","CENTRUM SILVER TABLET MEN 100CT",505.32
"36382401565","MUCINEX FAST MAX COLD FLU SORE THRT 6OZ",505.21
"32390001439","NYQUIL COLD FLU LIQUICAP 16CT",504.95
"8770199096","GNP SUPHEDRIN 12HR CPL 10",504.79
"8770140487","GNP ANTI-DIAR CPL 48",503.49
"68142102002","DULCOLAX 5MG TABLET 25CT",501.79
"32390001035","VICKS VAPOSTEAM LIQ        8OZ",500.88
"30031873818","ROBITUSSIN PEAK COLD DM MAX CGH/CONG 8OZ",497.26
"70414200023","FLORASTOR KIDS 250MG PACKET 20CT",496.75
"343386622306","MY WAY 1.5 MG TAB",494.45
"30031873618","ROBITUSSIN PEAK COLD DM CGH/CONG 8OZ",494.32
"88947651100","LIPOFLAVONOID PLUS CAPLET 100CT",493.82
"87773000012","NATURAL CREATIONS ENTEROBIOTIC",493.2
"31254720432","ZYRTEC OTC 10MG TABLET 14CT",492.73
"6761810760","SLOW-MAG TABLET 60CT",492.37
"34658170001","SALONPAS PATCH HOT CAPSICUM UNS 50X1CT",488.57
"30536589688","NICOTINE TRANSDERMAL PATCH 21MG 14CT WAT",486.5
"8770140403","GNP ALLERGY D CETIR PSE TAB 24CT",485.9
"70414200016","FLORASTOR KIDS 250MG PACKET 10CT",484.24
"8770189472","GNP CLOTRIMAZ AF CRM 1 OZ",483.64
"3600019317","DEPEND FITTED BRIEF MAX PROTCT LG 4X16CT",480.79
"30065143302","SYSTANE BALANCE DRY EYE DROP 10ML",479.59
"2878520105","HUMIDIFIER 4100 COOL MIST 1.2GAL VICKS",479.29
"36373612003","NIX CREAM RINSE 1% FAMILY PACK 2X2OZ",477.97
"8770140664","GNP LORATADIN D24 HR BTC TAB 15",477.91
"30045027026","TYLENOL COLD /FLU SEVERE CAPLET 24CT",477.43
"3600019183","DEPEND UNDERWEAR ADJ MAX ABS S/M 3X18",475.57
"8770164955","GNP DIPHEDRYL 25 MG TAB 24",474.89
"8770140306","GNP IBUPROFEN 200M BRN EZ TAB 250",473.91
"3600038530","DEPEND UNDERWEAR WMN MAXABS SM/MD 4X19CT",473.75
"31254662749","HALLS BAG CHERRY 30CT",473.73
"81483201042","LUDENS BAG HONEY LICORCE 30CT",473.39
"4110080798","CLARITIN 10MG 24HR LIQUIGEL 30CT",470.09
"32390001425","NYQUIL CHERRY 8OZ",469.42
"84898500152","HABITROL NICOTINE TRANS PATCH 21MG 14CT",467.32
"31254717021","BENADRYL ALLERGY DYE FREE LIQUIGEL 24CT",463.83
"8770142568","GNP NICOTINE 4MG MINT MINI LOZENGES 81CT",463.58
"32420838555","MURO-128 5% CORNEAL EDEMA OINT NT 3.5GM",461.18
"71683787230","PEPCID AC TABLET ORIGINAL 30CT",459.17
"30573016030","ADVIL CAPLET 50CT",458.33
"30023079815","REFRESH TEARS DROP 15ML",456.92
"73993019524","PROBIOTIC",455.74
"8770140514","GNP APAP ARTH 650 MG CPL 100",454.99
"3600033592","POISE PAD ULTIMATE REGULAR 4X33CT",454.54
"36382405736","MUCINEX D PSE TABLET 36CT",454.2
"30045019801","MOTRIN CHILD SUSPENSION DYE FR BERRY 1OZ",454.19
"31254715020","TUCKS PAD 100CT",450.41
"31747871710","KETOTIFEN FUM 0.025% DROP 5ML AKORN",448.92
"7431213794","CRANBERRY TRIPL SOFTGEL 60CT NAT BOUNTY",448.65
"32586653647","ALEVE ARTHRITIS CAPLET 100CT",447.12
"8770190003","GNP IBUPROFEN 200 MG TAB 50",446.01
"30045020427","ZYRTEC D PSE 12HR TABLET 12CT",444.24
"89815200160","LIFEGUARD LDL REDUCE!",442.9
"8770164932","GNP NON-ASPRN X/S N/CRC CPL 50",442.63
"30031873612","ROBITUSSIN PEAK COUGH CONGESTION DM 4OZ",442.32
"34601707703","BALNEOL LOTION 3OZ",438.05
"5113164113","NEXCARE TEGADERM 4""X4-3/4"" 4CT",437.51
"8770140085","GNP NASAL SPY SALINE LIQ 3 OZ",437.51
"30045048102","MOTRIN IB CPL 50",436.57
"3504601130","VIT B12 1000MCG TABLET 100CT WINDML",433.46
"8770189898","GNP IBUPROFEN 200 MG CPL 100",430.4
"4116700133","UNISOM MAX GELCAP 32CT",429.24
"31254717136","BENADRYL ULTRATAB 48CT",427.58
"32390001426","NYQUIL ORIGINAL 12OZ",426.98
"38004057400","PAD OVERNITE 3X30 TENA/SERENITY",425.55
"64786510004","AIRBORNE TABLET LEMON LIME 10CT",423.54
"31284353642","BAYER ASPIRIN LO DOSE REGMN TABLET 300CT",421.72
"38137004444","BAND-AID FLEXIBLE FABRIC 1SZ 100CT",420.27
"8770198111","GNP HYDROCORT 1 %+MOIS CRM 1 OZ",419.94
"30081074687","NEOSPORIN PLUS PAIN OINTMENT 1OZ",419.56
"7431213329","FISH OIL 1200MG SGC 100CT NAT BOUNTY",418.81
"2571588280","COLA SYRUP FLENTS 4OZ API",414.66
"32586610502","ALEVE CAPLET 24CT",414.3
"8770141235","GNP COUGH ORG ADLT 30MG SUS 3 OZ",414.17
"30766143020","NICODERM CQ 14MG PATCH CLEAR 14CT",406.83
"32390001435","DAYQUIL COLD FLU LIQUID 8OZ",406.51
"4110080657","CLARITIN CHILD 5MG 24HR CHEW GRAPE 20CT",404.72
"4116741274","ALLEGRA OTC 24HR 180MG TABLET 45CT CHT",400.81
"31284353635","BAYER ASPIRIN TABLET 100CT",397.17
"31011902227","ALAWAY EYE ALLERGY DROP 10ML",396.97
"32586652813","ALEVE LIQUID GEL 20CT",396.06
"8770140511","GNP STERILE WOUN WASH LIQ 7.1 OZ",393.39
"7430000803","VISINE ORIGINAL RED RELIEF DROP 15ML",391.04
"31254662936","HALLS BAG MENTHO-LYPTUS 30CT",390.96
"8770140311","GNP SLEEP AID NITE CPL 100",390.86
"8770140720","GNP FEXOFENAD HCL 180MG TAB 90",390.36
"38137005685","BAND-AID FLEXIBLE FABRIC XL 10CT",390.28
"64193220214","GLOVE VINYL P/F L/F XL GLV 100",389.01
"30696203559","ARNICARE GEL 2.6OZ BOIRON",388.87
"90891127009","FQ PREVAIL WASH CLOTHS WPE 48",388.87
"4110082033","AFRIN SPRAY NO DRIP SEVR CONG MENTH 15ML",388.73
"8770154970","GNP HYDROCORT 1 % CRM 1 OZ",388.33
"35789694101","IBUPROFEN 200MG TAB BROWN 100CT GERI-CAR",387.11
"8770140932","GNP FAMOTIDIN 10 MG TAB 30",387.11
"75597080841","COSAMIN DS CAPSULE 210CT",387.03
"3504600393","MELATONIN 5MG TABLET 60CT WINDMILL",386.74
"3600038534","DEPEND UNDERWEAR MEN MAXABS L/XL 2X17CT",386.69
"8770142683","GNP PROBIOTIC COLON SUPPT CAP 30CT",386.42
"64193210112","GLOVE LATEX P/F MD TX GLV 100",386.18
"7007440711","ENSURE RETL VANILLA BOTTLE 4X6X8OZ",385.82
"30023430710","REFRESH OPTIVE ADVANCED DROP 10ML",385.26
"31254662754","HALLS DEFENSE BAG ASST CITRUS 30CT",383.16
"8770175606","GNP IBUPROFEN 200 MG TAB 100",382.3
"32390001443","DAYQUIL COLD FLU LIQUICAP 24CT",380.91
"8770140437","GNP PROTECT XABS LG U/G 4X18",380.65
"32586610501","ALEVE TABLET 24CT",380.22
"30081067013","SUDAFED 12HR CAPLET PSE 10CT",380.09
"30045048211","TYLENOL PM EXTRA STRENGTH CAPLET 100CT",379.82
"75714500132","BREATHE RIGHT TAN LARGE 30CT",378.8
"30045054724","SUDAFED PE PRESSURE/PAIN CAPLET 24CT",378.11
"30536589588","NICOTINE TRANSDERMAL PATCH 14MG 14CT WAT",377.88
"30065045407","SYSTANE DRY EYE GEL DROP 10ML",377.64
"8770189897","GNP IBUPROFEN 200 MG CPL 50",377.4
"4110080610","CLARITIN 10MG 24HR LIQUIGEL 10CT",376.84
"64193210113","GLOVE LATEX P/F LG TX GLV 100",376.64
"30573287110","PREPARATION H OINTMENT 1OZ",376.38
"30081960027","SUDAFED 24HR TABLET PSE 10CT",375.82
"7631430201","EMERGEN-C VIT C 1000MG RASPBERRY 30CT",375.36
"30045083821","TYLENOL ARTHRITIS 8HR CAPLET 100CT",375.26
"30067642606","THERAFLU MAX POWDER SEVR COLD LIPTON 6CT",374.28
"4203710427","ECOTRIN 81MG TABLET 150CT",370.64
"8770140585","GNP CLEAR LAX PWD 4.1 OZ",370.31
"3504600218","VIT D3 5000IU CHOLECALCI TAB 60CT WINDML",369.86
"30005475652","CENTRUM SILVER WOMEN 100CT",369.24
"32390001398","ZZZQUIL LIQUID 12OZ",369.14
"3504600432","COQ10 100MG CAPSULE 30CT WINDML",368.69
"30067203924","EXCEDRIN MIGRAINE CAPLET 24CT",368.46
"34580272162","CETIRIZINE D 5/120MG TABLET 24CT PERRIGO",367.95
"38137005705","BAND-AID COMFORT-FLEX SHEER XL 10CT",367.8
"4116743102","ALLEGRA D 12HR 60MG CAPLET 10CT PSE CHT",367.17
"8770140438","GNP PROTECT XABS MED U/G 4X20",364.56
"4110080676","MIRALAX POWDER SINGLE DOSE PACKET 10CT",364.12
"30603002622","ASPIRIN 81MG EC TABLET 120CT QLT",363.74
"3504600392","MELATONIN 10MG TR TABLET 60CT WNDMLL",363.73
"34658120204","SALONPAS PATCH LARGE 25X4CT",362.06
"35058053408","BENADRYL KIDS ALLERGY LIQ CHERRY 8OZ",361.86
"30045012230","TYLENOL INFANT SUSPENSION GRAPE 1OZ",360.41
"4203710479","DEBROX EAR WAX REMOVAL KIT 0.5 OZ",359.97
"30067203991","EXCEDRIN MIGRAINE CAPLET 100CT",356.4
"1571810330","OCUSOFT EYE LID SCRUB PAD 30CT",355.63
"3660207917","RICOLA BAG ORIGINAL HERB 21CT",355.25
"30081074688","NEOSPORIN PLUS PAIN OINTMENT 0.5OZ",355.19
"30065042930","SYSTANE DRY EYE DROP 30ML",354.83
"70592800100","SINUS RINSE COMPLETE KIT",354.48
"30067200091","EXCEDRIN X/S CAPLETS 100CT JDEOBS",354.25
"89404700110","PREVAGEN EXTRA STRENGTH",353.74
"73221630024","ZICAM RAPIDMELT CITRUS 25CT",353.38
"30043011718","GAS-X X/STR CHEWABLE CHERRY 18CT",353.17
"81652601001","ST JOSEPH ASPIRIN 81MG EC TABLET 120CT",353.02
"30573016540","ADVIL GELCAP 100CT",352.88
"31254662920","HALLS PLUS BAG CHERRY 25CT",350.8
"68142103105","ZANTAC 150 TABLET 65CT",350.37
"3660219210","RICOLA BAG S/F LEMON MINT 19CT",349.75
"30067628614","PREVACID OTC 24HR CAPSULE 14CT",349.57
"36382401665","MUCINEX FAST MAX COLD & SINUS 6OZ",349.32
"91800000000","STOMACH",349.12
"3504600080","FERROUS SULF 325MG TABLET 100CT WINDML",347.74
"37811201103","CHLORASEPTIC SPRAY S/F CHERRY 6OZ",347.55
"84898500150","HABITROL NICOTINE TRANS PATCH 14MG 14CT",347.43
"36382420220","MUCINEX SINUS-MAX DAY NITE TABLET 20CT",346.08
"30067791706","THERAFLU DAY SEVERE COLD & COUGH 6CT",344.77
"8770164954","GNP CH DIPHEDRYL ELX 4 OZ",343.97
"32586655307","ALEVE PM CAPLET 40CT",343.7
"7346206285","SARNA LOTION ORIGINAL 7.5OZ",343.69
"4110080140","CORICIDIN HBP MAX STRENGTH FLU TAB 20CT",343.09
"7431204886","CO Q10 100MG SOFTGEL 45CT NAT BOUNTY",342.62
"8770179212","GNP ANTI-DIAR 2 MG CPL 12",342.56
"30023031204","REFRESH LACRI-LUBE DRY EYE 3.5GM",341.72
"3600019184","DEPEND UNDERWEAR ADJ MAX ABS LG/XL 3X16",340.57
"32878510150","VAPORIZER V150 W/LIGHT 1.5GAL VICKS",339.83
"4110080602","CLARITIN 10MG 24HR REDITAB 10CT",339.32
"8770141149","GNP APAP ARTH 650 MG CPL 200",339.04
"7430000536","BENGAY ULTRA STRENGTH CREAM 4OZ",338.38
"4116700391","CORTIZONE-10 CREAM 1OZ",338.02
"8770152393","GNP NAPROXEN 220 MG TABLET 100CT",337.75
"30045018660","TYLENOL INFANT SUSPENSION CHERRY 2OZ",336.92
"78751111800","LDR READING GLASSES",336.58
"8770140181","GNP PREG TEST EARLY STK 2",336.07
"8770195927","GNP IBUPROFEN INFN BERRY DRP 1 OZ",335.68
"30573286810","PREPARATION H CREAM MAX STRENGTH 0.9OZ",335.18
"36382420020","MUCINEX SINUS-MAX PRESSURE PAIN TAB 20CT",334.97
"32390001436","DAYQUIL COLD FLU PSE FREE LIQUID 12OZ",334.36
"8770140241","GNP HYDRO PER 3 % LIQ 12X16 OZ",334.03
"7431205721","ACIDOPHILUS WAFER STRAW 100CT NAT BOUNTY",330.11
"85767000204","ALKALOL NASAL WASH LIQUID 16 OZ",329.64
"8770140392","GNP LORATADIN D24 BTC TAB 10",328.67
"8770140305","GNP IBUPROFEN 200M ORG EZ CPL 225",327.71
"8770190060","GNP ASPIRIN EC TAB 125",327.13
"8770134277","GNP IBUPROFEN CHILD SUSP GRAPE (M)",327.07
"8770142567","GNP NICOTINE 2MG MINT MINI LOZENGES",326.91
"30045024213","ZYRTEC OTC CHILD DISSOLV TAB CITRUS 12CT",326.77
"4110080208","CLARITIN-D 12 HOUR TAB 10",326.53
"30573301502","THERMACARE 8HR NECK/SHOULDR/WRIST 3CT",326.31
"30696999851","OSCILLOCOCCINUM UNIT DOSE PELLET 6CT",326.13
"8770143595","GNP NASAL 12H X/ MOIST SPY 1 OZ",325.5
"30085075612","AFRIN PUMP 15ML",324.58
"8770140140","GNP PAIN RELF X/S EZ TAB 50",323.4
"30766074565","TUMS ULTRA TABLET FRUIT 72CT",322.08
"8770189865","GNP DIPHEDRYL 25 MG CAP 24",321.55
"64193211113","GLOVE LATEX PWDR LG GLV 100",321.05
"3600038536","DEPEND UNDERWEAR WMN MODABS LARGE 4X19CT",320.4
"82051305010","SIMPLY THICK 64 OZ   W/O   PUMP",319.87
"35563659074","PROMESCENT 7.4MLS",319.84
"8770160112","GNP ANTACID MS LIQ 12 OZ",319.15
"73112410018","BIOFREEZE PAIN RELIEF 360 SPRAY 4OZ",318.75
"4711360912","CLEAR CARE DISINFECTING 12OZ",317.11
"64193210114","GLOVE LATEX P/F XL TX GLV 100",316.72
"3600038535","DEPEND UNDERWEAR WMN MODABS SM/MD 4X21CT",316.03
"4203710379","ECOTRIN 325MG TABLET 125CT",315.9
"7430000848","VISINE ADVANCD DRY EYE RED DROP 0.5OZ",315.15
